,train,val,test
TCGA-3C-AALI,True,False,False
TCGA-3C-AALK,True,False,False
TCGA-5T-A9QA,True,False,False
TCGA-A1-A0SF,True,False,False
TCGA-A1-A0SI,True,False,False
TCGA-A1-A0SJ,True,False,False
TCGA-A1-A0SN,True,False,False
TCGA-A1-A0SP,True,False,False
TCGA-A1-A0SQ,True,False,False
TCGA-A2-A04N,True,False,False
TCGA-A2-A04P,True,False,False
TCGA-A2-A04Q,True,False,False
TCGA-A2-A04R,True,False,False
TCGA-A2-A04T,True,False,False
TCGA-A2-A04U,True,False,False
TCGA-A2-A04V,True,False,False
TCGA-A2-A04X,True,False,False
TCGA-A2-A04Y,True,False,False
TCGA-A2-A0CL,True,False,False
TCGA-A2-A0CM,True,False,False
TCGA-A2-A0CQ,True,False,False
TCGA-A2-A0CS,True,False,False
TCGA-A2-A0CT,True,False,False
TCGA-A2-A0CV,True,False,False
TCGA-A2-A0CW,True,False,False
TCGA-A2-A0CX,True,False,False
TCGA-A2-A0CY,True,False,False
TCGA-A2-A0CZ,True,False,False
TCGA-A2-A0D0,True,False,False
TCGA-A2-A0D3,True,False,False
TCGA-A2-A0EM,True,False,False
TCGA-A2-A0EO,True,False,False
TCGA-A2-A0EQ,True,False,False
TCGA-A2-A0ER,True,False,False
TCGA-A2-A0ET,True,False,False
TCGA-A2-A0EU,True,False,False
TCGA-A2-A0EV,True,False,False
TCGA-A2-A0EY,True,False,False
TCGA-A2-A0ST,True,False,False
TCGA-A2-A0SU,True,False,False
TCGA-A2-A0SV,True,False,False
TCGA-A2-A0SW,True,False,False
TCGA-A2-A0SX,True,False,False
TCGA-A2-A0T0,True,False,False
TCGA-A2-A0T2,True,False,False
TCGA-A2-A0T3,True,False,False
TCGA-A2-A0T7,True,False,False
TCGA-A2-A0YC,True,False,False
TCGA-A2-A0YE,True,False,False
TCGA-A2-A0YF,True,False,False
TCGA-A2-A0YG,True,False,False
TCGA-A2-A0YJ,True,False,False
TCGA-A2-A0YM,True,False,False
TCGA-A2-A0YT,True,False,False
TCGA-A2-A1FW,True,False,False
TCGA-A2-A1FX,True,False,False
TCGA-A2-A1FZ,True,False,False
TCGA-A2-A1G0,True,False,False
TCGA-A2-A1G1,True,False,False
TCGA-A2-A1G4,True,False,False
TCGA-A2-A1G6,True,False,False
TCGA-A2-A259,True,False,False
TCGA-A2-A25B,True,False,False
TCGA-A2-A25C,True,False,False
TCGA-A2-A25F,True,False,False
TCGA-A2-A3XS,True,False,False
TCGA-A2-A3XT,True,False,False
TCGA-A2-A3XU,True,False,False
TCGA-A2-A3XV,True,False,False
TCGA-A2-A3XW,True,False,False
TCGA-A2-A3XY,True,False,False
TCGA-A2-A3XZ,True,False,False
TCGA-A2-A3Y0,True,False,False
TCGA-A2-A4S3,True,False,False
TCGA-A7-A0CD,True,False,False
TCGA-A7-A0CE,True,False,False
TCGA-A7-A0CJ,True,False,False
TCGA-A7-A0D9,True,False,False
TCGA-A7-A0DA,True,False,False
TCGA-A7-A0DB,True,False,False
TCGA-A7-A0DC,True,False,False
TCGA-A7-A13D,True,False,False
TCGA-A7-A13E,True,False,False
TCGA-A7-A13G,True,False,False
TCGA-A7-A26H,True,False,False
TCGA-A7-A26J,True,False,False
TCGA-A7-A4SD,True,False,False
TCGA-A7-A4SE,True,False,False
TCGA-A7-A5ZW,True,False,False
TCGA-A7-A6VX,True,False,False
TCGA-A7-A6VY,True,False,False
TCGA-A8-A06N,True,False,False
TCGA-A8-A06O,True,False,False
TCGA-A8-A06Q,True,False,False
TCGA-A8-A06R,True,False,False
TCGA-A8-A06U,True,False,False
TCGA-A8-A06Y,True,False,False
TCGA-A8-A06Z,True,False,False
TCGA-A8-A075,True,False,False
TCGA-A8-A076,True,False,False
TCGA-A8-A079,True,False,False
TCGA-A8-A07B,True,False,False
TCGA-A8-A07C,True,False,False
TCGA-A8-A07E,True,False,False
TCGA-A8-A07F,True,False,False
TCGA-A8-A07G,True,False,False
TCGA-A8-A07I,True,False,False
TCGA-A8-A07J,True,False,False
TCGA-A8-A07L,True,False,False
TCGA-A8-A07R,True,False,False
TCGA-A8-A07U,True,False,False
TCGA-A8-A07W,True,False,False
TCGA-A8-A07Z,True,False,False
TCGA-A8-A081,True,False,False
TCGA-A8-A082,True,False,False
TCGA-A8-A083,True,False,False
TCGA-A8-A084,True,False,False
TCGA-A8-A085,True,False,False
TCGA-A8-A086,True,False,False
TCGA-A8-A08A,True,False,False
TCGA-A8-A08B,True,False,False
TCGA-A8-A08C,True,False,False
TCGA-A8-A08F,True,False,False
TCGA-A8-A08I,True,False,False
TCGA-A8-A08J,True,False,False
TCGA-A8-A08L,True,False,False
TCGA-A8-A08O,True,False,False
TCGA-A8-A08P,True,False,False
TCGA-A8-A08R,True,False,False
TCGA-A8-A08S,True,False,False
TCGA-A8-A08T,True,False,False
TCGA-A8-A08X,True,False,False
TCGA-A8-A090,True,False,False
TCGA-A8-A091,True,False,False
TCGA-A8-A092,True,False,False
TCGA-A8-A093,True,False,False
TCGA-A8-A094,True,False,False
TCGA-A8-A095,True,False,False
TCGA-A8-A096,True,False,False
TCGA-A8-A097,True,False,False
TCGA-A8-A099,True,False,False
TCGA-A8-A09A,True,False,False
TCGA-A8-A09B,True,False,False
TCGA-A8-A09C,True,False,False
TCGA-A8-A09E,True,False,False
TCGA-A8-A09G,True,False,False
TCGA-A8-A09I,True,False,False
TCGA-A8-A09K,True,False,False
TCGA-A8-A09Q,True,False,False
TCGA-A8-A09R,True,False,False
TCGA-AC-A23E,True,False,False
TCGA-AC-A23H,True,False,False
TCGA-AC-A2BK,True,False,False
TCGA-AC-A2BM,True,False,False
TCGA-AC-A5EH,True,False,False
TCGA-AC-A5XU,True,False,False
TCGA-AC-A62V,True,False,False
TCGA-AC-A62X,True,False,False
TCGA-AC-A6NO,True,False,False
TCGA-AC-A7VB,True,False,False
TCGA-AC-A8OP,True,False,False
TCGA-AC-A8OQ,True,False,False
TCGA-AN-A03Y,True,False,False
TCGA-AN-A041,True,False,False
TCGA-AN-A046,True,False,False
TCGA-AN-A0AL,True,False,False
TCGA-AN-A0AM,True,False,False
TCGA-AN-A0AT,True,False,False
TCGA-AN-A0FD,True,False,False
TCGA-AN-A0FJ,True,False,False
TCGA-AN-A0FK,True,False,False
TCGA-AN-A0FL,True,False,False
TCGA-AN-A0FS,True,False,False
TCGA-AN-A0FT,True,False,False
TCGA-AN-A0FX,True,False,False
TCGA-AN-A0FY,True,False,False
TCGA-AN-A0G0,True,False,False
TCGA-AN-A0XL,True,False,False
TCGA-AN-A0XO,True,False,False
TCGA-AN-A0XS,True,False,False
TCGA-AN-A0XT,True,False,False
TCGA-AN-A0XU,True,False,False
TCGA-AN-A0XW,True,False,False
TCGA-AO-A03L,True,False,False
TCGA-AO-A03M,True,False,False
TCGA-AO-A03N,True,False,False
TCGA-AO-A03P,True,False,False
TCGA-AO-A03T,True,False,False
TCGA-AO-A03V,True,False,False
TCGA-AO-A0J2,True,False,False
TCGA-AO-A0J3,True,False,False
TCGA-AO-A0J5,True,False,False
TCGA-AO-A0J6,True,False,False
TCGA-AO-A0J7,True,False,False
TCGA-AO-A0JA,True,False,False
TCGA-AO-A0JB,True,False,False
TCGA-AO-A0JC,True,False,False
TCGA-AO-A0JD,True,False,False
TCGA-AO-A0JE,True,False,False
TCGA-AO-A0JF,True,False,False
TCGA-AO-A0JG,True,False,False
TCGA-AO-A0JI,True,False,False
TCGA-AO-A0JL,True,False,False
TCGA-AO-A0JM,True,False,False
TCGA-AO-A124,True,False,False
TCGA-AO-A126,True,False,False
TCGA-AO-A128,True,False,False
TCGA-AO-A129,True,False,False
TCGA-AO-A12A,True,False,False
TCGA-AO-A12B,True,False,False
TCGA-AO-A12C,True,False,False
TCGA-AO-A12D,True,False,False
TCGA-AO-A1KP,True,False,False
TCGA-AO-A1KQ,True,False,False
TCGA-AO-A1KR,True,False,False
TCGA-AO-A1KT,True,False,False
TCGA-AQ-A04H,True,False,False
TCGA-AQ-A04J,True,False,False
TCGA-AQ-A04L,True,False,False
TCGA-AQ-A0Y5,True,False,False
